timestamp,markets_fetched,snapshots_saved,orderbooks_success,wss_hits,rest_fallbacks,rest_missing,rest_unhealthy,rest_very_old,rest_reconcile,rest_seed,wss_healthy,wss_cache_used,wss_cache_quiet,wss_fresh,reconciled_count,reconcile_ok,reconcile_healed,drift_count,drift_max_mid_bps,error
2026-01-02T14:38:08.991099+00:00,200,200,173,173,0,26,0,0,0,0,True,174,0,348,0,0,0,0,0.0,
2026-01-02T14:39:14.733975+00:00,200,200,174,174,0,24,0,0,0,0,True,176,0,352,0,0,0,0,0.0,
2026-01-02T14:40:20.987408+00:00,200,200,174,174,0,19,0,0,0,0,True,181,121,241,0,0,0,0,0.0,
2026-01-02T14:41:26.615338+00:00,200,200,174,174,0,18,0,0,0,0,True,182,125,126,0,0,0,0,0.0,
2026-01-02T14:42:31.783180+00:00,200,200,173,173,0,18,0,0,0,0,True,182,109,156,0,0,0,0,0.0,
2026-01-02T14:43:38.085342+00:00,200,200,173,173,0,17,0,0,10,0,True,183,116,152,10,10,0,0,0.0,
2026-01-02T14:44:44.705779+00:00,200,200,173,173,0,16,0,0,10,0,True,184,120,146,10,10,0,0,0.0,
2026-01-02T14:45:50.593907+00:00,200,200,173,173,0,16,0,0,10,0,True,184,126,130,10,10,0,0,0.0,
2026-01-02T14:46:56.674744+00:00,200,200,173,173,0,15,0,0,10,0,True,185,135,116,10,10,0,0,0.0,
2026-01-02T14:48:04.150802+00:00,200,200,172,172,0,15,0,0,10,0,True,185,122,137,10,9,1,1,5882.35,
2026-01-02T14:49:10.252131+00:00,200,200,172,172,0,15,0,0,10,0,True,185,119,140,10,10,0,0,0.0,
2026-01-02T14:50:17.086904+00:00,200,200,173,173,0,14,0,0,10,0,True,186,110,166,10,10,0,0,0.0,
2026-01-02T14:51:23.173131+00:00,200,200,173,173,0,14,0,0,10,0,True,186,111,165,10,10,0,0,0.0,
2026-01-02T14:52:29.088034+00:00,200,200,173,173,0,12,0,0,10,0,True,188,127,148,10,10,0,0,0.0,
2026-01-02T14:53:34.863196+00:00,200,200,174,174,0,12,0,0,10,0,True,188,124,140,10,10,0,0,0.0,
2026-01-02T14:54:41.817028+00:00,200,200,173,173,0,12,0,0,10,0,True,188,130,130,10,10,0,0,0.0,
2026-01-02T14:55:48.772507+00:00,200,200,173,173,0,11,0,0,10,0,True,189,133,123,10,10,0,0,0.0,
2026-01-02T14:56:55.205636+00:00,200,200,173,173,0,11,0,0,10,0,True,189,131,133,9,9,0,0,0.0,
2026-01-02T14:58:01.334300+00:00,200,200,173,173,0,11,0,0,10,0,True,189,133,124,9,9,0,0,0.0,
2026-01-02T14:59:06.940327+00:00,200,200,174,174,0,11,0,0,10,0,True,189,133,126,9,9,0,0,0.0,
2026-01-02T15:00:12.608750+00:00,200,200,174,174,0,11,0,0,10,0,True,189,138,119,9,9,0,0,0.0,
2026-01-02T15:01:18.345721+00:00,200,200,174,174,0,11,0,0,10,0,True,189,132,127,9,9,0,0,0.0,
2026-01-02T15:02:23.946663+00:00,200,200,174,174,0,10,0,0,10,0,True,190,123,141,8,8,0,0,0.0,
2026-01-02T15:03:30.322615+00:00,200,200,173,173,0,10,0,0,10,0,True,190,125,142,9,8,1,1,91.74,
2026-01-02T15:04:36.024056+00:00,200,200,174,174,0,10,0,0,10,0,True,190,122,154,9,8,1,1,899090.91,
2026-01-02T15:05:41.954493+00:00,200,200,174,174,0,10,0,0,10,0,True,190,118,154,9,9,0,0,0.0,
2026-01-02T15:06:47.906664+00:00,200,200,174,174,0,10,0,0,10,0,True,190,127,148,9,9,0,0,0.0,
